Category,Issue,Definition,Department,Public Access Level,Suggested Access Level
Accessibility,Americans with Disabilities,,City Planning - Disabilities,Block Level,
Accessibility,City Facility,,DPW - Facilities,Block Level,
Accessibility,"Handicap Ramp, Repair",,DPW - Construction Division,Block Level,
Accessibility,"Handicap Ramp, Request for Installation",,DPW - Transportation & Engineering,Block Level,
Accessibility,"Sidewalk, Lack of Snow/Ice Removal",,311,Block Level,
Accessibility,"Sidewalk, Obstruction",,DPW - Permits,Block Level,
Accessibility,Walkway or Trail,,311,Block Level,
Animal Issues,Animal Waste,,Animal Care & Control,Neighborhood,Neighborhood
Animal Issues,Barking Dog,,Animal Care & Control,Neighborhood,
Animal Issues,Check Conditions,,Animal Care & Control,Neighborhood,
Animal Issues,Dead Animal,,Animal Care & Control,Block Level,
Animal Issues,Dog License,,Finance,Block Level,Block
Animal Issues,Loose Dog(s),,Animal Care & Control,Neighborhood,
Animal Issues,Off Leash Exercise Area,,Animal Care & Control,Block Level,
Animal Issues,Other (please describe),,Animal Care & Control,Neighborhood,Neighborhood
Animal Issues,Rodent control,,Animal Care & Control,Neighborhood,Neighborhood
Ask Us/General FAQs,CitiParks Programs,,Parks & Recs-Programs,N/A,
Ask Us/General FAQs,City Clerk,,City Clerks Office,N/A,
Ask Us/General FAQs,City Council,,311,N/A,
Ask Us/General FAQs,EconOffice of Municipal Investigationsc Development,,Mayor's Office - Community Affairs,N/A,
Ask Us/General FAQs,Finance Department,,Finance,N/A,
Ask Us/General FAQs,Fire Department,,Fire Bureau,N/A,
Ask Us/General FAQs,Mayor's Office,,Mayor's Office - Community Affairs,N/A,
Ask Us/General FAQs,"Permits, Licenses and Inspections",,"Permits, Licenses and Inspections",N/A,
Ask Us/General FAQs,Police Department,,311,N/A,
Ask Us/General FAQs,Public Works Department,,DPW - Administration,N/A,
Building Maintenance,Broken Sidewalk,,"Permits, Licenses and Inspections",Block Level,Block
Building Maintenance,Building Maintenance,,"Permits, Licenses and Inspections",Neighborhood,
Building Maintenance,Dumpster,,"Permits, Licenses and Inspections",Neighborhood,
Building Maintenance,Electrical Violation,,"Permits, Licenses and Inspections",Neighborhood,
Building Maintenance,Fence Maintenance,,"Permits, Licenses and Inspections",Neighborhood,
Building Maintenance,Fire Safety Sytem Not Working,,"Permits, Licenses and Inspections",Block Level,Block
Building Maintenance,HVAC Not Functioning,,"Permits, Licenses and Inspections",Neighborhood,
Building Maintenance,Leak,,311/Pittsburgh Water & Sewer Authority,Neighborhood,
Building Maintenance,Retaining Wall Maintenance,,"Permits, Licenses and Inspections",Neighborhood,
Business Issues,Billing,,Finance,N/A,N/A
Business Issues,Business Accessibility,,"Permits, Licenses and Inspections",Neighborhood,
Business Issues,Earned Income Tax,,Finance,N/A,N/A
Business Issues,Homestead Act/Senior Tax Relief,,Finance,Neighborhood,
Business Issues,Operating Without a License,Operating without a business license.,"Permits, Licenses and Inspections",Block Level,
Business Issues,Parking Lot,,Finance,Block Level,
Business Issues,"Parking Lot, PPA Parking Lot",,PPA,Block Level,
Business Issues,Real Estate Tax,,Finance,N/A,N/A
Business Issues,Sign,Commercial sign for a business,"Permits, Licenses and Inspections",Block Level,
Business Issues,Zoning Issue,,"Permits, Licenses and Inspections",Neighborhood,Neighborhood
City Facilities and Infrastructure,City Facility,"Senior center, recreation center, fire station, etc.",DPW - Facilities,Block Level,
City Facilities and Infrastructure,"City Steps, Need Cleared",,DPW - Street Maintenance,Block Level,
City Facilities and Infrastructure,"City Steps, Need Repaired",,DPW - Construction Division,Block Level,
City Facilities and Infrastructure,"Court, Basketball or Tennis",,DPW - Park Maintenance,Block Level,
City Facilities and Infrastructure,Fence,,DPW - Construction Division,Block Level,
City Facilities and Infrastructure,Retaining Wall (Public Property),,DPW - Construction Division,Block Level,
City Facilities and Infrastructure,"Sidewalk, Overgrowth/Obstruction",,DPW - Permits,Block Level,
